word,sent,word_es
complains,-2,complains
comprehensive,2,comprehensive
conciliate,2,conciliar
conciliated,2,conciliated
conciliates,2,conciliates
conciliating,2,conciliación
condemn,-2,condenar
condemnation,-2,condenación
condemned,-2,condemned
condemns,-2,condena
confidence,2,confianza
confident,2,confident
conflict,-2,conflicto
conflicting,-2,conflicting
conflictive,-2,conflictive
conflicts,-2,conflictos
confuse,-2,confundir
confused,-2,confused
confusing,-2,confusing
congrats,2,congrats
congratulate,2,felicitar
congratulation,2,felicitación
congratulations,2,Felicidades
consent,2,consentir
consents,2,consentimiento
consolable,2,consolable
conspiracy,-3,conspiracy
constrained,-2,constrained
contagion,-2,contagio
contagions,-2,contagios
contagious,-1,contagious
contempt,-2,contempt
contemptuous,-2,contemptuous
contemptuously,-2,desdeñosamente
contend,-1,contender
contender,-1,contendiente
contending,-1,contador
contentious,-2,contentious
contestable,-2,contactable
controversial,-2,controversial
controversially,-2,controversially
convince,1,convince
convinced,1,convinced
convinces,1,convencer
convivial,2,alegre
cool,1,cool
cool stuff,3,cool stuff
cornered,-2,cornered
corpse,-1,corpse
costly,-2,costly
courage,2,courage
courageous,2,courageous
courteous,2,cortés
courtesy,2,cortesía
cover-up,-3,cover-up
coward,-2,cobarde
cowardly,-2,cobardemente
coziness,2,comodidad
cramp,-1,calambre
crap,-3,tonterías
crash,-2,crash
crazier,-2,más loco
craziest,-2,craziest
crazy,-2,crazy
creative,2,creative
crestfallen,-2,crestfallen
cried,-2,cried
cries,-2,cries
crime,-3,delito
criminal,-3,delincuente
criminals,-3,criminales
crisis,-3,crisis
critic,-2,critic
criticism,-2,crítica
criticize,-2,criticar
criticized,-2,criticized
criticizes,-2,criticar
criticizing,-2,criticizing
critics,-2,critics
cruel,-3,cruel
cruelty,-3,crueldad
crush,-1,aplastar
crushed,-2,aplastada
crushes,-1,crushes
crushing,-1,crushing
cry,-1,llorar
crying,-2,llanto
cunt,-5,coño
curious,1,curious
curse,-1,maldición
cut,-1,cortar
cute,2,cute
cuts,-1,cortes
cutting,-1,corte
cynic,-2,cynic
cynical,-2,cynical
cynicism,-2,cinismo
damage,-3,daño
damages,-3,daños y perjuicios
damn,-4,maldición
damned,-4,damned
damnit,-4,maldita sea
danger,-2,peligro
daredevil,2,daredevil
daring,2,daring
darkest,-2,el más oscuro
darkness,-1,oscuridad
dauntless,2,dauntless
dead,-3,dead
deadlock,-2,deadlock
deafening,-1,deafening
dear,2,dear
dearly,3,dearly
death,-2,muerte
debonair,2,debonair
debt,-2,deuda
deceit,-3,engaño
deceitful,-3,deceitful
deceive,-3,engañar
deceived,-3,deceived
deceives,-3,deceives
deceiving,-3,deceiving
deception,-3,engaño
decisive,1,decisive
dedicated,2,dedicated
defeated,-2,defeated
defect,-3,defecto
defects,-3,defectos
defender,2,defender
defenders,2,defenders
defenseless,-2,defenseless
defer,-1,aplazar
deferring,-1,deferring
defiant,-1,desafiante
deficit,-2,déficit
degrade,-2,degradar
degraded,-2,degraded
degrades,-2,degradarse
dehumanize,-2,deshumanizar
dehumanized,-2,dehumanized
dehumanizes,-2,deshumanizar
dehumanizing,-2,deshumanizar
deject,-2,deject
dejected,-2,dejected
dejecting,-2,dejecting
dejects,-2,dejects
delay,-1,demora
delayed,-1,delayed
delight,3,deleitar
delighted,3,contento
delighting,3,deleitando
delights,3,delicias
demand,-1,demanda
demanded,-1,demanded
demanding,-1,demandante
demands,-1,demandas
demonstration,-1,demostración
demoralized,-2,demoralized
denied,-2,denied
denier,-2,denier
deniers,-2,deniers
denies,-2,negaciones
denounce,-2,denounce
denounces,-2,denuncia
deny,-2,deny
denying,-2,negar
depressed,-2,depressed
depressing,-2,depressing
derail,-2,hacer descarrilar
derailed,-2,derailed
derails,-2,descarrilar
deride,-2,ridiculizar
derided,-2,derided
derides,-2,burlarse
deriding,-2,burla
derision,-2,derision
desirable,2,deseable
desire,1,desire
desired,2,desired
desirous,2,desirous
despair,-3,desesperación
despairing,-3,despairing
despairs,-3,desesperación
desperate,-3,desperate
desperately,-3,desesperadamente
despondent,-3,despondent
destroy,-3,destroy
destroyed,-3,destroyed
destroying,-3,destroying
destroys,-3,destroys
destruction,-3,destruction
destructive,-3,destructive
detached,-1,detached
detain,-2,detain
detained,-2,detained
detention,-2,detención
determined,2,determined
devastate,-2,devastate
devastated,-2,devastated
devastating,-2,devastating
devoted,3,devoted
diamond,1,diamante
dick,-4,dick
dickhead,-4,gilipollas
die,-3,morir
died,-3,died
difficult,-1,difficult
diffident,-2,diffident
dilemma,-1,dilema
dipshit,-3,dipshit
dire,-3,terrible
direful,-3,horrible
dirt,-2,suciedad
dirtier,-2,dirtier
dirtiest,-2,más sucio
dirty,-2,dirty
disabling,-1,incapacitante
disadvantage,-2,disadvantage
disadvantaged,-2,disadvantaged
disappear,-1,desaparecer
disappeared,-1,disappeared
disappears,-1,desaparece
disappoint,-2,decepcionar
disappointed,-2,disappointed
disappointing,-2,decepcionante
disappointment,-2,disappointment
disappointments,-2,decepciones
disappoints,-2,disappoints
disaster,-2,desastre
disasters,-2,desastres
disastrous,-3,disastrous
disbelieve,-2,no creer
discard,-1,desechar
discarded,-1,discarded
discarding,-1,discarding
discards,-1,discards
disconsolate,-2,disconsolate
disconsolation,-2,disconsolation
discontented,-2,discontented
discord,-2,discordia
discounted,-1,con descuento
discouraged,-2,discouraged
discredited,-2,discredited
disdain,-2,desdén
disgrace,-2,desgracia
disgraced,-2,disgraced
disguise,-1,ocultar
disguised,-1,disguised
disguises,-1,disguises
disguising,-1,disguising
disgust,-3,asco
disgusted,-3,disgustado
disgusting,-3,desagradable
disheartened,-2,disheartened
dishonest,-2,dishonest
disillusioned,-2,disillusioned
disinclined,-2,desagradable
disjointed,-2,disjointed
dislike,-2,disgusto
dismal,-2,dismal
dismayed,-2,dismayed
disorder,-2,disorder
disorganized,-2,disorganized
disoriented,-2,disoriented
disparage,-2,menospreciar
disparaged,-2,disparaged
disparages,-2,desprecio
disparaging,-2,disparaging
displeased,-2,displeased
dispute,-2,disputar
disputed,-2,disputed
disputes,-2,disputas
disputing,-2,de disputa
disqualified,-2,disqualified
disquiet,-2,disquiet
disregard,-2,disregard
disregarded,-2,disregarded
disregarding,-2,disregarding
disregards,-2,desacuerdo
disrespect,-2,falta de respeto
disrespected,-2,no respetado
disruption,-2,ruptura
disruptions,-2,interrupciones
disruptive,-2,disruptivo
dissatisfied,-2,dissatisfied
distort,-2,distorsionar
distorted,-2,distorted
distorting,-2,distorting
distorts,-2,distorsiones
distract,-2,distraer
distracted,-2,distracted
distraction,-2,distracción
distracts,-2,distrae
distress,-2,angustia
distressed,-2,distressed
distresses,-2,angustia
distressing,-2,distressing
distrust,-3,distrust
distrustful,-3,distrustful
disturb,-2,molestar
disturbed,-2,disturbed
disturbing,-2,disturbing
disturbs,-2,disturbs
dithering,-2,aturdimiento
dizzy,-1,dizzy
dodging,-2,regate
dodgy,-2,dodgy
does not work,-3,No funciona
dolorous,-2,dolorous
dont like,-2,no me gusta
doom,-2,condenar
doomed,-2,doomed
doubt,-1,duda
doubted,-1,doubted
doubtful,-1,doubtful
doubting,-1,doubting
doubts,-1,dudas
douche,-3,ducha
douchebag,-3,douchebag
downcast,-2,downcast
downhearted,-2,downhearted
downside,-2,downside
drag,-1,arrastrar
dragged,-1,dragged
drags,-1,arrastramiento
drained,-2,drained
dread,-2,miedo
dreaded,-2,dreaded
dreadful,-3,terrible
dreading,-2,dreading
dream,1,dream
dreams,1,Sueños
dreary,-2,triste
droopy,-2,droopy
drop,-1,gota
drown,-2,drown
drowned,-2,ahogue
drowns,-2,drowns
drunk,-2,drunk
dubious,-2,dubious
dud,-2,dud
dull,-2,dull
dumb,-3,dumb
dumbass,-3,dumbass
dump,-1,vertedero
dumped,-2,dumped
dumps,-1,dumps
dupe,-2,dupe
duped,-2,duped
dysfunction,-2,dysfunction
eager,2,eager
earnest,2,earnest
ease,2,facilidad
easy,1,fácil
ecstatic,4,ecstatic
eerie,-2,eerie
eery,-2,eery
effective,2,eficaz
effectively,2,efectivamente
elated,3,elated
elation,3,elation
elegant,2,elegant
elegantly,2,elegantly
embarrass,-2,avergonzar
embarrassed,-2,embarrassed
embarrasses,-2,avergonzarse
embarrassing,-2,embarrassing
embarrassment,-2,vergüenza
embittered,-2,embittered
embrace,1,abarcar
emergency,-2,emergency
empathetic,2,empathetic
emptiness,-1,emptiness
empty,-1,empty
enchanted,2,enchanted
encourage,2,alentar
encouraged,2,encouraged
encouragement,2,ánimo
encourages,2,fomentar
endorse,2,endorse
endorsed,2,endorsed
endorsement,2,endorsement
endorses,2,respaldo
enemies,-2,enemies
enemy,-2,enemy
energetic,2,energetic
engage,1,comprometer
engages,1,compromisos
engrossed,1,engrossed
enjoy,2,enjoy
enjoying,2,disfrutando
enjoys,2,disfrutar
enlighten,2,enlighten
enlightened,2,enlightened
enlightening,2,enlightening
enlightens,2,iluminar
ennui,-2,tedio
enrage,-2,enfurecer
enraged,-2,enraged
enrages,-2,enriquecimiento
enraging,-2,enfurecible
enrapture,3,extasiar
enslave,-2,esclavizar
enslaved,-2,enslaved
enslaves,-2,enslaves
ensure,1,ensure
ensuring,1,asegurando
enterprising,1,enterprising
entertaining,2,entertaining
enthral,3,enthral
enthusiastic,3,entusiasta
entitled,1,entitled
entrusted,2,entrusted
envies,-1,envies
envious,-2,envious
envy,-1,envidiar
envying,-1,envidiar
erroneous,-2,erroneous
error,-2,error
errors,-2,errores
escape,-1,escape
escapes,-1,escape
escaping,-1,escapar
esteemed,2,esteemed
ethical,2,ethical
euphoria,3,euforia
euphoric,4,euphoric
eviction,-1,desalojo
evil,-3,demonio
exaggerate,-2,exagerar
exaggerated,-2,exaggerated
exaggerates,-2,exagerar
exaggerating,-2,exaggerating
exasperated,2,exasperated
excellence,3,excelencia
excellent,3,excelente
excite,3,excitar
excited,3,entusiasmado
excitement,3,excitación
exciting,3,emocionante
exclude,-1,excluir
excluded,-2,excluded
exclusion,-1,exclusion
exclusive,2,exclusive
excuse,-1,disculpar
exempt,-1,eximir
exhausted,-2,exhausted
exhilarated,3,exhilarated
exhilarates,3,exhilarates
exhilarating,3,estimulante
exonerate,2,exonerar
exonerated,2,exonerated
exonerates,2,exonerarse
exonerating,2,exonerating
expand,1,expand
expands,1,expands
expel,-2,expulsar
expelled,-2,expelled
expelling,-2,expulsión
expels,-2,expels
exploit,-2,exploit
exploited,-2,exploited
exploiting,-2,exploiting
exploits,-2,exploits
exploration,1,exploración
explorations,1,explorations
expose,-1,exponer
exposed,-1,exposed
exposes,-1,exposes
exposing,-1,exposición
extend,1,extender
extends,1,extends
exuberant,4,exuberant
exultant,3,exultant
exultantly,3,exultantly
fabulous,4,fabulous
fad,-2,moda
fag,-3,fag
faggot,-3,faggot
faggots,-3,faggots
fail,-2,fail
failed,-2,failed
failing,-2,failing
fails,-2,fails
failure,-2,falla
failures,-2,fallas
fainthearted,-2,fainthearted
fair,2,fair
faith,1,fe
faithful,3,fiel
fake,-3,fake
fakes,-3,falsificaciones
faking,-3,faking
fallen,-2,fallen
falling,-1,falling
falsified,-3,falsified
falsify,-3,falsificar
fame,1,fame
fan,3,fan
fantastic,4,fantastic
farce,-1,farsa
fascinate,3,fascinar
fascinated,3,fascinated
fascinates,3,fascinante
fascinating,3,fascinante
fascist,-2,fascist
fascists,-2,fascists
fatalities,-3,fatalities
fatality,-3,fatality
fatigue,-2,fatigue
fatigued,-2,fatigued
fatigues,-2,fatigar
fatiguing,-2,fatiguing
favor,2,favor
favored,2,favored
favorite,2,favorite
favorited,2,favorited
favorites,2,favorites
favors,2,favores
fear,-2,miedo
fearful,-2,fearful
fearing,-2,fearing
fearless,2,valiente
fearsome,-2,fearsome
fed up,-3,harto
feeble,-2,débil
feeling,1,sentimiento
felonies,-3,felonies
felony,-3,delito
fervent,2,ferviente
fervid,2,fervid
festive,2,festive
fiasco,-3,fiasco
fidgety,-2,fidgety
fight,-1,luchar
fine,2,bien
fire,-2,fuego
fired,-2,fired
firing,-2,disparo
fit,1,fit
fitness,1,aptitud física
flagship,2,buque insignia
flees,-1,flees
flop,-2,fracaso
flops,-2,chocolas
flu,-2,gripe
flustered,-2,flustered
focused,2,focused
fond,2,fond
fondness,2,cariño
fool,-2,fool
foolish,-2,foolish
fools,-2,fools
forced,-1,forced
foreclosure,-2,juicio hipotecario
foreclosures,-2,ejecución hipotecaria
forget,-1,forget
forgetful,-2,forgetful
forgive,1,perdonar
forgiving,1,forgiving
forgotten,-1,forgotten
fortunate,2,fortunate
frantic,-1,frantic
fraud,-4,fraude
frauds,-4,fraudes
fraudster,-4,fraudster
fraudsters,-4,fraudsters
fraudulence,-4,fraudulence
fraudulent,-4,fraudulent
free,1,gratis
freedom,2,libertad
frenzy,-3,frenesí
fresh,1,fresh
friendly,2,amigable
fright,-2,susto
frightened,-2,frightened
frightening,-3,alarmante
frikin,-2,frikin
frisky,2,frisky
frowning,-1,frowning
frustrate,-2,frustrar
frustrated,-2,frustrated
frustrates,-2,frustrar
frustrating,-2,frustrante
frustration,-2,frustración
ftw,3,FTW
fuck,-4,Mierda
fucked,-4,fucked
fucker,-4,fucker
fuckers,-4,cabrones
fuckface,-4,cara de joder
fuckhead,-4,cabezal
fucking,-4,fucking
fucktard,-4,joder
fud,-3,fud
fuked,-4,fuked
fuking,-4,cuidadoso
fulfill,2,realizar
fulfilled,2,fulfilled
fulfills,2,cumplen
fuming,-2,timbre
fun,4,fun
funeral,-1,funeral
funerals,-1,funerales
funky,2,funky
funnier,4,funnier
funny,4,funny
furious,-3,furious
futile,2,fútil
gag,-2,mordaza
gagged,-2,gagged
gain,2,gain
gained,2,ganado
gaining,2,ganancia
gains,2,gains
gallant,3,gallant
gallantly,3,gallardamente
gallantry,3,gallantry
generous,2,generous
genial,3,genial
ghost,-1,fantasma
giddy,-2,giddy
gift,2,regalo
glad,3,glad
glamorous,3,glamorous
glamourous,3,glamourous
glee,3,alegría
gleeful,3,gleeful
gloom,-1,oscuridad
gloomy,-2,gloomy
glorious,2,glorious
glory,2,glory
glum,-2,glum
god,1,dios
goddamn,-3,maldito
godsend,4,godsend
good,3,good
goodness,3,bondad
grace,1,gracia
gracious,3,Cortés
grand,3,grand
grant,1,conceder
granted,1,granted
granting,1,concesión
grants,1,grants
grateful,3,grateful
gratification,2,gratification
grave,-2,tumba
gray,-1,gray
great,3,great
greater,3,mayor que
greatest,3,greatest
greed,-3,greed
greedy,-2,greedy
green wash,-3,lavado verde
green washing,-3,lavado verde
greenwash,-3,enjuague
greenwasher,-3,lavavajillas
greenwashers,-3,lavavajillas
greenwashing,-3,lavado verde
greet,1,saludar
greeted,1,greeted
greeting,1,saludo
greetings,2,greetings
greets,1,saludo
grey,-1,gris
grief,-2,dolor
grieved,-2,grieved
gross,-2,gross
growing,1,creciente
growth,2,crecimiento
guarantee,1,guarantee
guilt,-3,guilt
guilty,-3,guilty
gullibility,-2,gullibility
gullible,-2,gullible
gun,-1,pistola
ha,2,Ja
hacked,-1,hacked
haha,3,ja ja
hahaha,3,hahaha
hahahah,3,jajaja
hail,2,granizo
hailed,2,hailed
hapless,-2,hapless
haplessness,-2,desventura
happiness,3,happiness
happy,3,happy
hard,-1,hard
hardier,2,más fuerte
hardship,-2,privación
hardy,2,hardy
harm,-2,harm
harmed,-2,harmed
harmful,-2,harmful
harming,-2,harming
harms,-2,harms
harried,-2,harried
harsh,-2,harsh
harsher,-2,harsher
harshest,-2,harshest
hate,-3,hate
hated,-3,hated
haters,-3,haters
hates,-3,odios
hating,-3,odio
haunt,-1,guarida
haunted,-2,haunted
haunting,1,haunting
haunts,-1,haunts
havoc,-2,estragos
healthy,2,saludable
heartbreaking,-3,heartbreaking
heartbroken,-3,heartbroken
heartfelt,3,heartfelt
heaven,2,cielo
heavenly,4,celestial
heavyhearted,-2,heavyhearted
hell,-4,infierno
help,2,help
helpful,2,útil
helping,2,Ayudar
helpless,-2,helpless
helps,2,ayuda
hero,2,hero
heroes,2,héroes
heroic,3,heroic
hesitant,-2,vacilante
hesitate,-2,hesitate
hid,-1,hid
hide,-1,hide
hides,-1,se esconde
hiding,-1,hiding
highlight,2,highlight
hilarious,2,hilarious
hindrance,-2,hindrance
hoax,-2,hoax
homesick,-2,homesick
honest,2,honest
honor,2,honor
honored,2,honored
honoring,2,honor
honour,2,honour
honoured,2,honoured
honouring,2,honor
hooligan,-2,hooligan
hooliganism,-2,gamberrismo
hooligans,-2,hooligans
hope,2,hope
hopeful,2,hopeful
hopefully,2,hopefully
hopeless,-2,hopeless
hopelessness,-2,desesperación
hopes,2,esperanzas
hoping,2,hoping
horrendous,-3,horrendous
horrible,-3,horrible
horrific,-3,horrific
horrified,-3,horrified
hostile,-2,hostile
huckster,-2,huckster
hug,2,abrazo
huge,1,enorme
hugs,2,abrazos
humerous,3,humerous
humiliated,-3,humiliated
humiliation,-3,humiliation
humor,2,humor
humorous,2,humorous
humour,2,humor
humourous,2,humourous
hunger,-2,hunger
hurrah,5,hurrah
hurt,-2,herir
hurting,-2,hurting
hurts,-2,hurts
hypocritical,-2,hypocritical
hysteria,-3,histeria
hysterical,-3,hysterical
hysterics,-3,histerismo
idiot,-3,idiot
idiotic,-3,idiotic
ignorance,-2,ignorancia
ignorant,-2,ignorante
ignore,-1,ignore
ignored,-2,ignored
ignores,-1,ignora
ill,-2,ill
illegal,-3,ilegal
illiteracy,-2,illiteracy
illness,-2,illness
illnesses,-2,illnesses
imbecile,-3,imbecile
immobilized,-1,immobilized
immortal,2,inmortal
immune,1,immune
impatient,-2,impaciente
imperfect,-2,imperfect
importance,2,importance
important,2,important
impose,-1,impose
imposed,-1,imposed
imposes,-1,imposes
imposing,-1,imponente
impotent,-2,impotent
impress,3,impress
impressed,3,impressed
impresses,3,impresión
impressive,3,impressive
imprisoned,-2,imprisoned
improve,2,improve
improved,2,mejorado
improvement,2,improvement
improves,2,improves
improving,2,improving
